Borough,Total Units,Age,Has Elevator,Gross SqFt,Estimated Gross Income,Estimated Expense,Net Operating Income,Full Market Value
1,1,97.0,1,2404.0,124455.0,42647.0,81808.0,654000.0
1,90,14.0,0,73690.0,4030843.0,1248309.0,2782534.0,22258000.0
1,24,89.0,0,17842.0,658905.0,244971.0,413934.0,3312000.0
5,40,75.0,1,38700.0,521676.0,222912.0,298764.0,2116000.0
3,16,9.0,0,24787.0,525732.0,122696.0,403036.0,2840994.0
1,20,101.0,0,23399.0,1184457.0,464002.0,720455.0,5831000.0
4,14,6.0,0,19308.0,451614.0,192501.0,259113.0,2049003.0
3,27,20.0,0,38798.0,1576363.0,472948.0,1103415.0,8920000.0
1,6,109.0,0,6345.0,352338.0,94477.0,257861.0,2077000.0
3,45,7.0,0,40115.0,1369125.0,547570.0,821555.0,6612000.0
3,20,3.0,0,29328.0,956386.0,260433.0,695953.0,5660000.0
4,69,16.0,0,32169.0,1044527.0,250597.0,793931.0,6456000.0
3,72,14.0,0,79381.0,2797386.0,815243.0,1982144.0,16011000.0
3,18,92.0,1,20070.0,480275.0,230203.0,250072.0,1971000.0
1,21,92.0,0,20038.0,657246.0,210399.0,446847.0,3374000.0
4,12,30.0,1,7591.0,171101.0,91092.0,80009.0,634002.0
3,23,13.0,1,45455.0,814099.0,484550.0,329549.0,2511000.0
1,40,9.0,0,45699.0,1011319.0,557985.0,453334.0,3578007.0
4,19,11.0,1,19400.0,826246.0,300700.0,525546.0,4277000.0
4,33,18.0,0,31922.0,741229.0,217389.0,523840.0,4141000.0
4,49,25.0,1,50670.0,731675.0,273111.0,458564.0,3039995.0
1,25,115.0,0,13997.0,758078.0,264963.0,493114.0,3948000.0
1,85,35.0,0,119419.0,5363107.0,1745906.0,3617201.0,28935004.0
1,9,98.0,0,16028.0,420254.0,160440.0,259814.0,1977999.0
1,5,116.0,1,8640.0,221357.0,105840.0,115517.0,924000.0
3,8,16.0,0,8160.0,180010.0,57691.0,122318.0,957000.0
3,44,2.0,1,47111.0,1059055.0,361341.0,697714.0,4798433.0
1,11,9.0,0,12026.0,269262.0,116412.0,152850.0,1198006.0
3,1,6.0,0,1955.0,63713.0,15288.0,48425.0,390000.0
4,17,36.0,1,17400.0,418122.0,193140.0,224982.0,1773000.0
1,11,107.0,0,27480.0,914260.0,412750.0,501510.0,4012002.0
1,108,11.0,0,73634.0,3560940.0,1124391.0,2436549.0,19788002.0
1,1,71.0,1,1158.0,50651.0,11198.0,39453.0,298000.0
3,68,10.0,0,52077.0,1369104.0,504105.0,864999.0,6950000.0
3,12,13.0,0,19028.0,451725.0,89241.0,362483.0,2860000.0
3,8,7.0,0,8327.0,170973.0,47765.0,123208.0,903000.0
3,14,11.0,0,19823.0,448396.0,89204.0,359192.0,2849998.0
1,78,53.0,0,45116.0,1974276.0,550866.0,1423410.0,11390010.0
1,12,16.0,0,33378.0,1484987.0,302738.0,1182249.0,9516000.0
3,12,9.0,0,17388.0,246562.0,81550.0,165012.0,1095000.0
1,22,16.0,0,25721.0,953992.0,176960.0,777032.0,6311002.0
1,15,105.0,0,29631.0,1067309.0,379573.0,687736.0,5237001.0
4,7,36.0,1,5624.0,164390.0,33069.0,131321.0,1056999.0
1,17,113.0,1,9720.0,368291.0,130831.0,237460.0,1807998.0
1,10,8.0,0,26615.0,1238396.0,426905.0,811491.0,6493998.0
3,21,14.0,0,25438.0,875830.0,306528.0,569302.0,4637000.0
1,33,88.0,0,46998.0,938416.0,397426.0,540990.0,3945000.0
3,14,10.0,1,18855.0,504560.0,171203.0,333357.0,2666998.0
1,12,13.0,0,21807.0,1005957.0,281746.0,724211.0,5794003.0
1,1,6.0,0,21114.0,742157.0,288628.0,453529.0,3458000.0
1,35,10.0,0,40339.0,2005252.0,603471.0,1401781.0,11283002.0
3,44,18.0,0,39920.0,1302590.0,475447.0,827142.0,6665000.0
3,8,15.0,1,8340.0,192154.0,53710.0,138444.0,1089000.0
3,11,12.0,1,12942.0,336751.0,75322.0,261429.0,2090999.0
3,17,21.0,0,17772.0,486953.0,204556.0,282397.0,2254000.0
1,20,93.0,0,22920.0,830621.0,256016.0,574605.0,4376999.0
3,16,15.0,1,17827.0,592035.0,201267.0,390768.0,3180000.0
3,8,7.0,1,8340.0,164465.0,57546.0,106919.0,770002.0
4,12,29.0,1,9969.0,191305.0,98095.0,93210.0,711999.0
3,10,2.0,1,8850.0,185054.0,63101.0,121953.0,889000.0
3,38,20.0,0,49768.0,1836937.0,779865.0,1057072.0,8546000.0
3,8,14.0,1,10394.0,194680.0,89077.0,105603.0,806000.0
2,10,23.0,1,11912.0,172843.0,96845.0,75998.0,503998.0
1,123,32.0,0,132774.0,5626962.0,1700835.0,3926127.0,31886003.0
1,35,114.0,0,61572.0,2475645.0,740138.0,1735507.0,13233000.0
3,43,20.0,0,32500.0,962650.0,308100.0,654550.0,5253000.0
1,35,103.0,0,48636.0,1216873.0,480037.0,736836.0,5591998.0
3,23,110.0,1,16545.0,392282.0,179844.0,212438.0,1677000.0
1,42,86.0,0,50156.0,1919725.0,664113.0,1255612.0,9574001.0
3,8,102.0,1,7560.0,134870.0,45889.0,88981.0,394496.0
