Borough,Total Units,Age,Has Elevator,Gross SqFt,Estimated Gross Income,Estimated Expense,Net Operating Income,Full Market Value,Borough 1,Total Units 1,Age 1,Has Elevator 1,Gross SqFt 1,Estimated Gross Income 1,Estimated Expense 1,Net Operating Income 1,Full Market Value 1,Borough 2,Total Units 2,Age 2,Has Elevator 2,Gross SqFt 2,Estimated Gross Income 2,Estimated Expense 2,Net Operating Income 2,Full Market Value 2,Borough 3,Total Units 3,Age 3,Has Elevator 3,Gross SqFt 3,Estimated Gross Income 3,Estimated Expense 3,Net Operating Income 3,Full Market Value 3
3,11,20.0,0,21259.0,738325.0,228747.0,509578.0,4151000.0,3,18,42.0,1,15390.0,534495.0,165596.0,368898.0,3940000.0,3,24,111.0,1,27732.0,978662.0,212150.0,766512.0,7977000.0,3,32,96.0,1,38000.0,1284780.0,373160.0,911620.0,5531000.0
1,40,10.0,0,68865.0,2985298.0,665236.0,2320062.0,18556001.0,1,63,50.0,1,53500.0,2383592.0,581072.0,1802520.0,14067000.0,1,30,100.0,1,39000.0,1683069.0,416538.0,1266531.0,3770000.0,1,15,17.0,1,25542.0,1107246.0,246736.0,860510.0,5075000.0
1,27,86.0,0,25652.0,1148184.0,378367.0,769817.0,6212000.0,1,20,105.0,1,22344.0,978220.0,325552.0,652668.0,4211000.0,1,22,110.0,1,11472.0,513487.0,169212.0,344275.0,2974000.0,1,52,99.0,1,41898.0,1890019.0,615482.0,1274537.0,11768000.0
3,63,2.0,1,72262.0,2003825.0,799218.0,1204607.0,9719995.0,3,41,15.0,1,43018.0,1208806.0,508043.0,700763.0,3971000.0,3,65,56.0,1,66000.0,1830180.0,729960.0,1100220.0,4830000.0,3,78,89.0,1,78718.0,2130109.0,801349.0,1328760.0,5560000.0
1,16,102.0,0,15210.0,375231.0,160009.0,215222.0,1379394.0,1,18,102.0,1,17856.0,226972.0,115756.0,111216.0,706000.0,1,24,72.0,1,19368.0,512000.0,205477.0,306523.0,2314000.0,1,84,92.0,1,27521.0,678992.0,289426.0,389566.0,2922000.0
1,30,118.0,0,32905.0,1122390.0,354387.0,768003.0,6203000.0,1,24,90.0,1,22290.0,769674.0,272607.0,497067.0,4802000.0,1,28,110.0,1,32928.0,1102100.0,338171.0,763930.0,4790000.0,1,45,95.0,1,37674.0,1285060.0,405749.0,879311.0,10743000.0
3,12,21.0,1,20816.0,629060.0,156744.0,472315.0,3800000.0,3,35,105.0,0,33455.0,1014356.0,283698.0,730657.0,1863000.0,3,25,105.0,0,19350.0,584757.0,145706.0,439052.0,998000.0,3,36,105.0,0,25800.0,768582.0,174924.0,593658.0,1163000.0
3,18,14.0,0,32189.0,1131443.0,248499.0,882944.0,7171000.0,3,40,88.0,1,42820.0,1487139.0,275333.0,1211806.0,6062000.0,3,20,12.0,1,39916.0,1446157.0,259853.0,1186304.0,5131000.0,3,42,11.0,1,40094.0,1409304.0,309526.0,1099778.0,9034000.0
3,32,7.0,0,32000.0,841280.0,421120.0,420160.0,3194998.0,3,41,10.0,1,43018.0,1128362.0,553211.0,575151.0,2973000.0,3,47,86.0,0,37916.0,996812.0,498975.0,497837.0,2024000.0,3,36,84.0,0,26800.0,712344.0,350008.0,362336.0,1432000.0
1,22,83.0,0,45600.0,1509170.0,588748.0,920422.0,7017999.0,1,37,94.0,1,49150.0,1613788.0,556826.0,1056962.0,5996000.0,1,37,94.0,1,38463.0,1272965.0,496601.0,776364.0,4758000.0,1,30,94.0,1,20130.0,717091.0,252794.0,464297.0,3293000.0
1,49,10.0,0,53079.0,1505851.0,677819.0,828032.0,6625000.0,1,72,107.0,1,55725.0,1580918.0,884356.0,696562.0,6081000.0,1,92,44.0,1,84941.0,2369004.0,1190023.0,1178981.0,8622000.0,1,42,97.0,1,40577.0,1220150.0,623263.0,596887.0,5418000.0
1,30,88.0,0,21223.0,799258.0,283964.0,515294.0,4123000.0,1,15,96.0,0,9925.0,361270.0,158205.0,203065.0,2029000.0,1,19,106.0,0,10595.0,399008.0,141761.0,257247.0,1550000.0,1,22,96.0,0,14450.0,566007.0,214438.0,351569.0,1762000.0
3,15,8.0,1,27666.0,531464.0,175679.0,355785.0,2568003.0,3,20,93.0,0,27309.0,523514.0,190890.0,332624.0,2783000.0,3,11,8.0,0,16000.0,314240.0,117600.0,196640.0,477000.0,3,15,82.0,0,10500.0,201705.0,66675.0,135030.0,1166000.0
4,6,51.0,1,5083.0,110911.0,50271.0,60640.0,478000.0,4,11,20.0,0,8268.0,178671.0,80200.0,98471.0,795000.0,4,12,45.0,0,8656.0,194327.0,99025.0,95302.0,718000.0,4,15,77.0,0,8948.0,195245.0,88496.0,106749.0,682000.0
1,30,117.0,0,24451.0,1052616.0,318108.0,734508.0,5876000.0,1,15,17.0,1,18260.0,732591.0,260753.0,471838.0,3366000.0,1,25,88.0,1,20886.0,899142.0,271727.0,627415.0,4252000.0,1,39,92.0,1,17750.0,842415.0,260570.0,581845.0,4901000.0
1,16,15.0,0,9744.0,526079.0,141385.0,384694.0,3124001.0,1,24,119.0,1,10785.0,572360.0,166305.0,406055.0,2375000.0,1,50,107.0,1,22500.0,1231200.0,375975.0,855225.0,6636000.0,1,35,19.0,1,26300.0,1419937.0,381613.0,1038324.0,10383000.0
3,16,10.0,0,24696.0,453419.0,131383.0,322036.0,2434002.0,3,56,93.0,1,51390.0,967160.0,369494.0,597666.0,3336000.0,3,67,55.0,1,64300.0,1131037.0,388372.0,742665.0,4104000.0,3,66,76.0,1,62400.0,1145664.0,331968.0,813696.0,4388000.0
1,113,87.0,0,120723.0,6266731.0,2220096.0,4046635.0,32571001.0,1,20,133.0,1,16400.0,860672.0,341448.0,519224.0,3665000.0,1,52,94.0,1,38214.0,1973371.0,730652.0,1242719.0,11563000.0,1,30,92.0,1,17688.0,918184.0,325282.0,592902.0,4867000.0
1,47,13.0,0,36472.0,2015078.0,540880.0,1474198.0,11866000.0,1,47,98.0,1,21600.0,1190160.0,309960.0,880200.0,4558000.0,1,43,68.0,1,35550.0,1964138.0,527207.0,1436931.0,7305000.0,1,12,118.0,1,11160.0,626299.0,173761.0,452538.0,3393000.0
3,16,15.0,0,12953.0,407113.0,142483.0,264630.0,2150000.0,3,90,4.0,1,72378.0,2311753.0,754903.0,1556851.0,13973000.0,3,116,4.0,1,90820.0,2632872.0,1184293.0,1448579.0,11719000.0,3,35,90.0,1,25075.0,788107.0,320960.0,467147.0,3797000.0
3,14,17.0,1,24639.0,836987.0,292958.0,544029.0,4432000.0,3,16,112.0,0,18594.0,443095.0,159537.0,283559.0,2259000.0,3,44,73.0,0,37945.0,1463918.0,501253.0,962665.0,7848000.0,3,16,90.0,0,16124.0,547732.0,109482.0,438250.0,3570000.0
3,28,16.0,0,38600.0,913662.0,211528.0,702134.0,5616993.0,3,19,8.0,1,24347.0,540990.0,72798.0,468192.0,3646000.0,3,31,99.0,1,27281.0,666748.0,193422.0,473326.0,1446000.0,3,48,15.0,1,58675.0,1388837.0,321539.0,1067298.0,7219000.0
1,10,112.0,0,22500.0,722925.0,211950.0,510975.0,3858000.0,1,18,97.0,1,33500.0,1209601.0,338906.0,870695.0,6574000.0,1,13,112.0,1,26712.0,858310.0,251527.0,606783.0,4581000.0,1,15,103.0,1,22448.0,492668.0,201994.0,290674.0,2138000.0
1,28,26.0,1,30976.0,887153.0,397422.0,489731.0,3964006.0,1,18,93.0,0,15292.0,440104.0,204148.0,235956.0,2336000.0,1,21,99.0,0,15895.0,455233.0,203933.0,251300.0,2930000.0,1,15,99.0,0,12890.0,343905.0,157258.0,186647.0,2036000.0
3,12,6.0,0,8850.0,300546.0,106200.0,194346.0,1583000.0,3,76,61.0,1,52801.0,1793122.0,633612.0,1159510.0,7622000.0,3,78,94.0,1,62556.0,2115644.0,677481.0,1438162.0,7501000.0,3,36,94.0,1,27300.0,939666.0,309582.0,630084.0,2871000.0
1,55,79.0,0,43578.0,2103510.0,676766.0,1426744.0,11586993.0,1,12,119.0,1,8303.0,399374.0,113585.0,285789.0,2321000.0,1,29,90.0,1,20700.0,999189.0,321471.0,677718.0,4942000.0,1,30,89.0,1,25266.0,1238287.0,364588.0,873699.0,5124000.0
1,10,100.0,0,14295.0,583522.0,170111.0,413411.0,3343000.0,1,37,33.0,1,25657.0,1073745.0,351244.0,722501.0,7576000.0,1,37,33.0,1,24617.0,1004866.0,292942.0,711924.0,6835000.0,1,71,100.0,1,62188.0,2435282.0,736928.0,1698354.0,13163000.0
3,18,6.0,0,24454.0,744869.0,268260.0,476608.0,3868000.0,3,38,16.0,1,40000.0,1201600.0,361600.0,840000.0,10524000.0,3,36,111.0,1,42500.0,1294550.0,292400.0,1002150.0,11623000.0,3,43,15.0,1,36787.0,1278716.0,338073.0,940644.0,6724000.0
1,12,26.0,0,5700.0,284658.0,97527.0,187131.0,1497003.0,1,24,117.0,1,10785.0,538603.0,184531.0,354072.0,1972000.0,1,35,17.0,1,26300.0,1292119.0,462880.0,829239.0,8983000.0,1,24,17.0,1,17168.0,873680.0,285847.0,587833.0,4947000.0
1,11,114.0,0,32641.0,1471783.0,277775.0,1194008.0,9610001.0,1,30,98.0,1,63600.0,3241692.0,698328.0,2543364.0,20474000.0,1,17,133.0,1,43338.0,1424087.0,196321.0,1227766.0,9778000.0,1,20,88.0,1,30999.0,1397745.0,360518.0,1037227.0,8349000.0
1,21,120.0,0,32300.0,1229661.0,338181.0,891480.0,7102999.0,1,18,100.0,1,33500.0,1275345.0,350745.0,924600.0,7424000.0,1,23,95.0,0,32800.0,1311966.0,444521.0,867445.0,10713000.0,1,26,95.0,1,29165.0,992293.0,241120.0,751173.0,8527000.0
1,84,111.0,0,95930.0,4224275.0,1244277.0,2979998.0,22722000.0,1,75,89.0,1,106519.0,4722828.0,1402780.0,3320048.0,12393000.0,1,94,85.0,1,80281.0,3535172.0,1041299.0,2493873.0,11020000.0,1,68,91.0,1,75144.0,3169324.0,865813.0,2303511.0,11648000.0
3,15,11.0,0,16680.0,351448.0,115592.0,235856.0,1843999.0,3,17,107.0,1,29109.0,613327.0,201725.0,411602.0,3591000.0,3,25,97.0,1,32532.0,795082.0,376395.0,418687.0,6158000.0,3,35,87.0,1,37500.0,753750.0,280125.0,473625.0,5444000.0
1,9,110.0,0,19713.0,944253.0,245624.0,698629.0,5589001.0,1,41,97.0,1,39264.0,1880746.0,489229.0,1391517.0,7038000.0,1,76,55.0,1,43770.0,2118030.0,554566.0,1563464.0,12094000.0,1,41,78.0,1,32736.0,1550050.0,374827.0,1175223.0,5573000.0
1,38,91.0,0,32476.0,1456549.0,380619.0,1075930.0,8750000.0,1,37,6.0,1,31455.0,1950525.0,368338.0,1582187.0,12651000.0,1,52,121.0,1,34904.0,1287958.0,392321.0,895637.0,7300000.0,1,79,96.0,1,41600.0,1865760.0,487552.0,1378208.0,11208000.0
1,120,44.0,0,80000.0,4865600.0,1131200.0,3734400.0,29873006.0,1,61,67.0,1,48249.0,2883360.0,840015.0,2043345.0,8334000.0,1,69,56.0,1,50029.0,3042764.0,707410.0,2335354.0,8781000.0,1,35,97.0,1,25778.0,1601329.0,375328.0,1226001.0,6492000.0
